City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jamestown,US,78.03,overcast clouds,42.097,-79.2353,Jamestown
4,Bani,DO,85.86,clear sky,18.2833,-70.3333,Baní
5,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Cabo San Lucas
7,Lorengau,PG,80.28,overcast clouds,-2.0226,147.2712,Lorengau
11,Gewane,ET,94.3,scattered clouds,10.1664,40.6453,Gewana
13,Ouallam,NE,90.84,overcast clouds,14.3188,2.0866,Ouallam
16,Atuona,PF,77.0,few clouds,-9.8,-139.0333,Atuona
17,Marathon,US,76.24,clear sky,44.9,-89.7668,Krautkramer Brothers
19,Kutum,SD,81.41,overcast clouds,14.2,24.6667,Kutum
21,Ajdabiya,LY,84.22,clear sky,30.7554,20.2263,Ajdabiya
22,Albany,US,86.43,clear sky,42.6001,-73.9662,Voorheesville
25,Galle,LK,79.11,overcast clouds,6.0367,80.217,Galle
29,Vila Franca Do Campo,PT,78.19,broken clouds,37.7167,-25.4333,Vila Franca do Campo
31,Bengkulu,ID,77.22,broken clouds,-3.8004,102.2655,Bengkulu
40,Grand-Santi,GF,85.06,broken clouds,4.25,-54.3833,Grand-Santi
42,Kati,ML,80.01,overcast clouds,12.7441,-8.0726,Kati
44,Butaritari,KI,79.52,light rain,3.0707,172.7902,Ukiangang
47,Wladyslawowo,PL,95.94,clear sky,54.7909,18.4009,Wladyslawowo
48,Georgetown,MY,84.88,few clouds,5.4112,100.3354,George Town
49,Katsuura,JP,77.45,overcast clouds,35.1333,140.3,Katsuura
53,Umm Lajj,SA,87.53,clear sky,25.0213,37.2685,Umluj
56,Mana,GF,82.17,broken clouds,5.6592,-53.7767,Mana
60,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Horta
61,Hirara,JP,85.35,clear sky,24.8,125.2833,Hirara
65,Marsa Matruh,EG,81.99,clear sky,31.3525,27.2453,Marsa Matruh
68,Bandarbeyla,SO,80.02,overcast clouds,9.4942,50.8122,Bandarbeyla
70,Pemangkat,ID,79.99,broken clouds,1.1667,108.9667,Pemangkat
73,Lubango,AO,75.56,clear sky,-14.9172,13.4925,Lubango
75,Hithadhoo,MV,81.82,light rain,-0.6,73.0833,Addu City
79,Meridian,US,75.09,haze,43.6121,-116.3915,Boise
80,Kapaa,US,80.19,light rain,22.0752,-159.319,Kapaʻa
81,Prado,BR,78.37,few clouds,-17.3411,-39.2208,Prado
85,Gilgit,PK,96.71,overcast clouds,35.9221,74.3087,Gilgit
87,Merrill,US,76.1,clear sky,45.1805,-89.6835,Merrill
88,Villablino,ES,94.82,clear sky,42.9393,-6.3194,Villablino
89,Veraval,IN,81.97,overcast clouds,20.9,70.3667,Veraval
92,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Hambantota
93,Westport,US,89.33,clear sky,41.1415,-73.3579,Norwalk
94,Bosaso,SO,91.51,broken clouds,11.2842,49.1816,Bosaso
97,Nikolskoye,RU,81.88,clear sky,59.7035,30.7861,Saint Petersburg
99,Aksu,CN,86.79,clear sky,41.1231,80.2644,Aksu Prefecture
101,Sinnamary,GF,82.74,scattered clouds,5.3833,-52.95,Sinnamary
102,Touros,BR,82.87,broken clouds,-5.1989,-35.4608,Touros
103,Praia Da Vitoria,PT,80.85,few clouds,38.7333,-27.0667,Praia da Vitória
105,Biak,ID,75.99,scattered clouds,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
106,Muros,ES,75.38,clear sky,42.7762,-9.0603,Muros
108,Port Blair,IN,81.09,heavy intensity rain,11.6667,92.75,Port Blair
109,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,Denpasar
111,Hobyo,SO,78.73,broken clouds,5.3505,48.5268,Hobyo
112,San Patricio,US,88.84,clear sky,28.017,-97.5169,Sinton
114,Ayorou,NE,95.07,broken clouds,14.7308,0.9174,Ayorou
122,Cayenne,GF,86.04,overcast clouds,4.9333,-52.3333,Cayenne
123,Kavaratti,IN,81.1,overcast clouds,10.5669,72.642,Kavaratti
126,Caravelas,BR,78.33,clear sky,-17.7125,-39.2481,Caravelas
128,Mocuba,MZ,79.65,clear sky,-16.8392,36.9856,Mocuba
134,Cape Coast,GH,77.79,scattered clouds,5.1053,-1.2466,Cape Coast
135,Guaymas,MX,90.77,scattered clouds,27.9333,-110.9,Guaymas
136,Faanui,PF,76.82,light rain,-16.4833,-151.75,Vaitape
137,Hastings,GB,75.79,broken clouds,50.8552,0.5729,Hastings
140,Mundi,IN,80.55,overcast clouds,22.0667,76.5,Mundi
145,Shimoda,JP,79.07,overcast clouds,34.6667,138.95,Shimoda
146,Artyom,AZ,80.74,clear sky,40.4723,50.333,Pirallahi
147,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Kamisu
149,Vitina,BA,99.97,clear sky,43.2375,17.4839,Radišići
152,Churu,IN,89.04,overcast clouds,28.3,74.95,Churu
154,Asau,RO,83.32,clear sky,46.4333,26.4,Comănești
159,Uige,AO,75.22,few clouds,-7.6087,15.0613,Uige
161,Ampanihy,MG,79.2,few clouds,-24.7,44.75,Ampanihy
165,Herbertpur,IN,82.9,overcast clouds,30.45,77.7333,Vikasnagar
166,Saint-Andre-Les-Vergers,FR,80.64,broken clouds,48.2853,4.0521,Troyes
167,Ussel,FR,86.74,clear sky,45.55,2.3167,Ussel
171,Elizabethtown,US,82.09,clear sky,37.694,-85.8591,Elizabethtown
172,Padang,ID,78.62,overcast clouds,-0.9492,100.3543,Padang
173,Worland,US,78.15,clear sky,44.0169,-107.9554,Worland
174,Portoferraio,IT,93.72,clear sky,42.8115,10.3146,Portoferraio
175,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Amami
178,Road Town,VG,80.64,thunderstorm with light rain,18.4167,-64.6167,Road Town
181,Vetlanda,SE,93.61,broken clouds,57.4289,15.0776,Vetlanda
183,Nsanje,MW,84.33,clear sky,-16.92,35.262,Nsanje
186,Sibut,CF,81.63,light rain,5.718,19.0739,Sibut
188,Surt,LY,82.94,clear sky,31.2089,16.5887,Sirte
191,Sao Filipe,CV,76.14,broken clouds,14.8961,-24.4956,Sao Filipe
192,Lasa,IT,89.69,broken clouds,46.6166,10.7002,Schlanders
193,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Maceió
198,Santa Isabel Do Rio Negro,BR,83.95,scattered clouds,-0.4139,-65.0192,Santa Isabel do Rio Negro
202,Bacolod,PH,80.02,overcast clouds,10.6667,122.95,Bacolod
203,Myra,IT,98.15,clear sky,45.4358,12.1348,Venice
207,Yarada,IN,86.32,mist,17.65,83.2667,Visakhapatnam
209,Ahuimanu,US,75.2,few clouds,21.4447,-157.8378,Honolulu
210,Nago,JP,83.35,scattered clouds,26.5881,127.9761,Nago
211,Sissach,CH,87.91,clear sky,47.4641,7.8089,Liestal
213,Bethel,US,87.89,clear sky,41.3712,-73.414,Danbury
214,Bubaque,GW,78.98,light rain,11.2833,-15.8333,Bubaque
215,Manaure,CO,86.25,few clouds,11.7751,-72.4445,Manaure
216,Imbituba,BR,75.09,clear sky,-28.24,-48.6703,Imbituba
217,Turbat,PK,89.94,overcast clouds,26.0023,63.044,Turbat
218,Nishihara,JP,83.48,clear sky,26.1842,127.7558,Nanjo
220,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Santa Cruz de la Sierra
222,Manaus,BR,86.5,scattered clouds,-3.1019,-60.025,Manaus
226,Kaduna,NG,80.87,light rain,10.5222,7.4383,Kaduna
227,Harper,LR,78.08,broken clouds,4.375,-7.7169,Harper
228,Marzuq,YE,86.47,clear sky,14.4,46.4667,Al Hujayrah
229,Wiwili,NI,76.17,overcast clouds,13.6268,-85.8254,Wiwilí de Nueva Segovia
230,Piacabucu,BR,79.54,overcast clouds,-10.4056,-36.4344,Piaçabuçu
232,Nicoya,CR,76.53,overcast clouds,10.1483,-85.452,Nicoya
235,Bereda,ES,77.0,few clouds,43.2686,-7.5406,A Feira do Monte
238,Mumford,GH,76.86,scattered clouds,5.2618,-0.759,Mumford
241,Suluq,LY,87.91,clear sky,31.6682,20.2521,Suluq
243,Puerto Ayacucho,VE,77.0,overcast clouds,5.6639,-67.6236,Puerto Ayacucho
245,Dingle,PH,78.4,overcast clouds,10.9995,122.6711,Pototan
247,Ouadda,CF,78.73,moderate rain,8.0777,22.4007,Ouadda
248,Dwarka,IN,83.35,overcast clouds,22.2394,68.9678,Dwarka
250,Victoria,HK,89.19,clear sky,22.2855,114.1577,Hong Kong
253,Manokwari,ID,79.61,broken clouds,-0.8667,134.0833,Manokwari
257,Nouadhibou,MR,78.78,few clouds,20.931,-17.0347,Nouadhibou
259,Sarkand,KZ,82.98,clear sky,45.41,79.9186,Sarķand
260,Orthez,FR,91.9,clear sky,43.4884,-0.7724,Orthez
261,Almeirim,BR,85.17,broken clouds,-1.5233,-52.5817,Almeirim
262,Broome,US,85.55,clear sky,42.2506,-75.833,Chenango Forks
264,Aleppo,SY,94.75,clear sky,36.25,37.5,Nadżdżara
265,Sao Jose Da Coroa Grande,BR,78.1,broken clouds,-8.8978,-35.1478,São José da Coroa Grande
267,Malanje,AO,84.61,scattered clouds,-9.5402,16.341,Malanje
268,Dakar,SN,88.68,scattered clouds,14.6937,-17.4441,Dakar
271,Vanimo,PG,79.18,heavy intensity rain,-2.6741,141.3028,Vanimo
275,Kaoma,ZM,78.49,overcast clouds,-14.7833,24.8,Kaoma
278,Saint George,US,89.26,clear sky,37.1041,-113.5841,St. George
280,Issoudun,FR,79.45,scattered clouds,47.0,1.8333,Vatan
281,Wattegama,LK,79.43,light rain,6.7989,81.4808,Wattegama
283,Kroya,ID,77.52,overcast clouds,-7.6331,109.2461,Kebasen
285,Daru,PG,76.59,broken clouds,-9.0763,143.2092,Daru
286,Umm Kaddadah,SD,75.76,overcast clouds,13.6017,26.6876,Umm Kadadda
288,Bardiyah,LY,82.92,clear sky,31.7561,25.0865,Bardiyah
289,Katra,IN,75.24,light rain,32.9833,74.95,Katra
290,Gat,IL,89.4,clear sky,31.61,34.7642,Kiryat Gat
291,Jaisalmer,IN,93.38,broken clouds,26.9147,70.9181,Jaisalmer
294,Nieves,PH,81.91,light rain,15.3274,120.9485,Gapan City
297,Malkangiri,IN,77.59,overcast clouds,18.35,81.9,Malkangiri
301,Middlebury,US,82.58,overcast clouds,44.0153,-73.1673,Middlebury
303,Alingsas,SE,89.31,overcast clouds,57.9303,12.5335,Alingsås
304,Matamoros,MX,82.51,few clouds,25.5333,-103.25,Matamoros
307,Aquiraz,BR,86.45,broken clouds,-3.9014,-38.3911,Eusébio
308,Xinxiang,CN,79.39,clear sky,35.3089,113.8672,Xinxiang
309,Aden,YE,86.13,clear sky,12.7794,45.0367,Aden
312,Mecca,SA,98.49,clear sky,21.4267,39.8261,Mecca
313,Pontianak,ID,80.58,overcast clouds,-0.0333,109.3333,Pontianak
319,Port Moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Port Moresby
320,Sulangan,PH,85.71,overcast clouds,11.1373,123.7228,Bantayan
323,Kemijarvi,FI,76.35,overcast clouds,66.7131,27.4306,Kemijärvi
324,Marabba,SD,82.98,overcast clouds,12.35,32.1833,Marabba
325,Gopalpur,IN,84.87,overcast clouds,19.2667,84.9167,Gopalpur
326,Peniche,PT,76.28,broken clouds,39.3558,-9.3811,"Peniche, Portugal"
327,Opuwo,,78.13,clear sky,-18.0607,13.84,Opuwo
331,Bambanglipuro,ID,76.15,scattered clouds,-7.95,110.2833,Bantul
332,Mineros,BO,80.26,broken clouds,-17.1167,-63.2333,Minero
333,Yabrud,SY,85.75,clear sky,33.9674,36.6574,Yabrud
335,Kontagora,NG,83.55,light rain,10.3999,5.4695,Kontagora
338,Sant Julia De Loria,AD,91.89,few clouds,42.4625,1.4825,Andorra la Vella
340,Ugoofaaru,MV,82.27,overcast clouds,5.6667,73.0,Ungoofaaru
342,Drahovo,UA,84.7,clear sky,48.2357,23.5491,Drahovo
343,Sepuka,TZ,77.29,overcast clouds,-4.75,34.5333,Sepuka
344,Bartica,GY,84.52,few clouds,6.4,-58.6167,Bartica
347,Barao De Melgaco,BR,91.24,clear sky,-16.1944,-55.9675,Barão de Melgaço
349,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Wilson Hill
350,Jalu,LY,94.1,clear sky,29.0331,21.5482,Jalu
352,Abu Samrah,SY,92.7,clear sky,35.3029,37.1841,Suruj
357,Chingirlau,KZ,84.18,broken clouds,51.095,54.0814,Shyngyrlau
358,Buchanan,LR,79.03,overcast clouds,5.8808,-10.0467,Buchanan
360,The Valley,AI,86.09,scattered clouds,18.217,-63.0578,The Valley
362,Ponta Do Sol,PT,82.71,clear sky,32.6667,-17.1,Ribeira Brava
363,Avera,US,83.71,overcast clouds,33.194,-82.5271,Avera
364,Belmonte,BR,75.97,few clouds,-15.8631,-38.8828,Belmonte
366,Eyl,SO,84.72,overcast clouds,7.9803,49.8164,Eyl
368,Tivaouane,SN,88.14,overcast clouds,14.9515,-16.8129,Tivaouane
371,Mandera,KE,91.27,scattered clouds,3.9366,41.867,Mandera
372,Guaraciaba Do Norte,BR,78.98,scattered clouds,-4.1669,-40.7475,Guaraciaba do Norte
375,Morondava,MG,77.18,clear sky,-20.2833,44.2833,Morondava
376,Mizdah,LY,94.84,clear sky,31.4451,12.9801,Mizdah
