City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Rikitea,PF,-23.1203,-134.9692,74.35,78,100,17.54,overcast clouds,2022-07-17 17:55:42
1,Esperance,AU,-33.8667,121.9,53.26,86,100,10.09,light rain,2022-07-17 17:55:42
2,Iqaluit,CA,63.7506,-68.5145,46.13,87,100,9.22,light rain,2022-07-17 17:55:43
3,Sembe,CG,1.6481,14.5806,72.21,92,100,1.79,light rain,2022-07-17 17:55:43
4,Ushuaia,AR,-54.8,-68.3,42.46,52,40,5.75,scattered clouds,2022-07-17 17:55:43
5,Praia Da Vitoria,PT,38.7333,-27.0667,79.05,69,75,12.55,broken clouds,2022-07-17 17:55:44
6,Mahebourg,MU,-20.4081,57.7,70.09,64,40,19.57,scattered clouds,2022-07-17 17:55:44
7,Souillac,MU,-20.5167,57.5167,70.18,64,40,19.57,scattered clouds,2022-07-17 17:55:45
8,Luderitz,NA,-26.6481,15.1594,67.75,41,9,5.26,clear sky,2022-07-17 17:55:45
9,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,40,19.57,scattered clouds,2022-07-17 17:53:09
10,Pevek,RU,69.7008,170.3133,31.03,94,100,35.19,light snow,2022-07-17 17:51:47
11,Portland,US,45.5234,-122.6762,72.5,55,14,5.99,few clouds,2022-07-17 17:55:45
12,Barrow,US,71.2906,-156.7887,39.92,74,100,14.58,overcast clouds,2022-07-17 17:55:46
13,Codrington,AU,-38.2667,141.9667,48.58,67,96,18.19,overcast clouds,2022-07-17 17:55:46
14,Kendari,ID,-3.945,122.4989,74.14,95,100,2.77,light rain,2022-07-17 17:55:46
15,Castro,BR,-24.7911,-50.0119,67.53,68,100,2.04,overcast clouds,2022-07-17 17:55:47
16,Ust-Kut,RU,56.7938,105.7672,52.61,95,69,0.67,broken clouds,2022-07-17 17:55:47
17,Dikson,RU,73.5069,80.5464,45.1,79,65,8.77,broken clouds,2022-07-17 17:55:48
18,Florianopolis,BR,-27.6146,-48.5012,68.13,68,20,12.66,few clouds,2022-07-17 17:55:48
19,Kavieng,PG,-2.5744,150.7967,81.86,80,71,14.7,light rain,2022-07-17 17:55:48
20,Hobart,AU,-42.8794,147.3294,39.06,84,75,17.27,broken clouds,2022-07-17 17:55:49
21,Kapaa,US,22.0752,-159.319,77.47,84,100,5.01,overcast clouds,2022-07-17 17:55:49
22,Ancud,CL,-41.8697,-73.8203,43.23,85,71,17.09,moderate rain,2022-07-17 17:55:49
23,Oranjemund,NA,-28.55,16.4333,60.31,67,6,0.6,clear sky,2022-07-17 17:55:50
24,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,82,0,16.11,clear sky,2022-07-17 17:55:50
25,Hilo,US,19.7297,-155.09,87.28,89,100,5.75,overcast clouds,2022-07-17 17:53:58
26,Garden City,US,42.3256,-83.331,81.48,74,100,5.75,overcast clouds,2022-07-17 17:55:05
27,Cabo San Lucas,MX,22.8909,-109.9124,92.61,59,11,6.02,few clouds,2022-07-17 17:52:16
28,Busselton,AU,-33.65,115.3333,53.15,93,100,13.13,overcast clouds,2022-07-17 17:53:23
29,Zyryanka,RU,65.75,150.85,50.25,70,42,0.78,scattered clouds,2022-07-17 17:55:51
30,Port Alfred,ZA,-33.5906,26.891,73.58,33,2,13.98,clear sky,2022-07-17 17:55:51
31,Kahului,US,20.8947,-156.47,80.83,77,71,13.0,broken clouds,2022-07-17 17:55:51
32,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,88,75,4.61,broken clouds,2022-07-17 17:55:52
33,Vaini,TO,-21.2,-175.2,73.56,83,20,6.91,few clouds,2022-07-17 17:55:52
34,Farmington,US,36.7281,-108.2187,94.77,22,3,5.01,clear sky,2022-07-17 17:55:52
35,Albany,US,42.6001,-73.9662,90.63,45,37,3.0,scattered clouds,2022-07-17 17:55:53
36,Surt,LY,31.2089,16.5887,80.26,63,0,12.97,clear sky,2022-07-17 17:55:53
37,Muros,ES,42.7762,-9.0603,85.15,77,74,2.35,broken clouds,2022-07-17 17:55:53
38,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,54,0,10.36,clear sky,2022-07-17 17:55:54
39,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.38,75,25,13.42,scattered clouds,2022-07-17 17:55:54
40,Jamestown,US,42.097,-79.2353,78.06,70,100,6.91,overcast clouds,2022-07-17 17:55:55
41,Cedar City,US,37.6775,-113.0619,86.4,25,38,7.23,scattered clouds,2022-07-17 17:55:55
42,Yellowknife,CA,62.456,-114.3525,63.12,82,75,23.02,broken clouds,2022-07-17 17:53:46
43,Coquimbo,CL,-29.9533,-71.3436,56.93,62,0,11.5,clear sky,2022-07-17 17:55:55
44,Saskylakh,RU,71.9167,114.0833,46.87,59,90,5.91,overcast clouds,2022-07-17 17:55:56
45,Sola,VU,-13.8833,167.55,80.96,75,87,23.31,overcast clouds,2022-07-17 17:55:56
46,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,71,87,17.76,overcast clouds,2022-07-17 17:55:56
47,Punta Arenas,CL,-53.15,-70.9167,37.51,70,0,11.5,clear sky,2022-07-17 17:55:57
48,Provideniya,RU,64.3833,-173.3,51.15,95,100,6.33,overcast clouds,2022-07-17 17:55:57
49,San Policarpo,PH,12.1791,125.5072,80.44,80,100,5.66,overcast clouds,2022-07-17 17:55:58
50,Clyde River,CA,70.4692,-68.5914,35.83,87,100,13.8,overcast clouds,2022-07-17 17:55:58
51,Atuona,PF,-9.8,-139.0333,77.95,77,21,21.03,few clouds,2022-07-17 17:55:58
52,Victoria,HK,22.2855,114.1577,86.38,81,100,11.01,overcast clouds,2022-07-17 17:55:59
53,Dalbandin,PK,28.8947,64.4101,90.48,41,43,20.74,scattered clouds,2022-07-17 17:55:59
54,Tasiilaq,GL,65.6145,-37.6368,41.86,78,88,6.06,overcast clouds,2022-07-17 17:55:59
55,Nouadhibou,MR,20.931,-17.0347,75.18,73,3,31.07,sand,2022-07-17 17:56:00
56,Guerrero Negro,MX,27.9769,-114.0611,77.9,51,3,9.04,clear sky,2022-07-17 17:56:00
57,Adelanto,US,34.5828,-117.4092,103.08,17,32,2.17,scattered clouds,2022-07-17 17:56:00
58,Upernavik,GL,72.7868,-56.1549,41.18,86,53,15.14,broken clouds,2022-07-17 17:56:01
59,Marawi,PH,7.9986,124.2928,69.35,93,100,3.04,overcast clouds,2022-07-17 17:56:01
60,Grand Gaube,MU,-20.0064,57.6608,70.2,66,41,8.99,scattered clouds,2022-07-17 17:56:01
61,Mataura,NZ,-46.1927,168.8643,51.48,88,86,5.84,overcast clouds,2022-07-17 17:56:02
62,Richards Bay,ZA,-28.783,32.0377,66.79,80,0,11.83,clear sky,2022-07-17 17:56:02
63,Katsuura,JP,35.1333,140.3,76.6,92,37,14.25,scattered clouds,2022-07-17 17:56:02
64,Ramhormoz,IR,31.28,49.6035,104.81,8,0,3.42,clear sky,2022-07-17 17:56:03
65,Butaritari,KI,3.0707,172.7902,81.77,74,99,10.4,overcast clouds,2022-07-17 17:56:03
66,Cherskiy,RU,68.75,161.3,35.42,63,71,13.13,broken clouds,2022-07-17 17:54:54
67,Saldanha,ZA,-33.0117,17.9442,59.05,93,0,7.96,clear sky,2022-07-17 17:56:03
68,Khatanga,RU,71.9667,102.5,57.81,62,100,5.06,overcast clouds,2022-07-17 17:56:04
69,Tiksi,RU,71.6872,128.8694,36.77,78,99,4.21,overcast clouds,2022-07-17 17:56:04
70,Norman Wells,CA,65.282,-126.8329,64.44,77,75,5.75,broken clouds,2022-07-17 17:56:04
71,Nikolskoye,RU,59.7035,30.7861,58.91,94,98,5.99,overcast clouds,2022-07-17 17:52:58
72,Bluff,NZ,-46.6,168.3333,51.8,67,87,20.65,overcast clouds,2022-07-17 17:53:02
73,Kitsuki,JP,33.4167,131.6167,75.18,74,100,1.79,overcast clouds,2022-07-17 17:56:05
74,Preobrazheniye,RU,42.9019,133.9064,62.02,91,100,10.33,overcast clouds,2022-07-17 17:56:05
75,Homer,US,59.6425,-151.5483,55.27,92,100,13.0,overcast clouds,2022-07-17 17:52:21
76,Arman,RU,59.7,150.1667,57.02,95,14,3.04,few clouds,2022-07-17 17:56:06
77,Fortuna,US,40.5982,-124.1573,58.98,76,37,8.68,scattered clouds,2022-07-17 17:52:29
78,Waddan,LY,29.1614,16.139,88.7,19,0,10.09,clear sky,2022-07-17 17:56:06
79,Avarua,CK,-21.2078,-159.775,69.85,88,75,4.61,light rain,2022-07-17 17:56:07
80,Kangaba,ML,11.9333,-8.4167,88.29,53,65,2.95,broken clouds,2022-07-17 17:56:07
81,Zhigansk,RU,66.7697,123.3711,54.5,68,100,12.01,overcast clouds,2022-07-17 17:56:08
82,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,2.3,broken clouds,2022-07-17 17:56:08
83,Pierre,US,44.3683,-100.351,90.86,52,0,4.0,clear sky,2022-07-17 17:56:08
84,Port-Gentil,GA,-0.7193,8.7815,76.96,78,40,11.5,scattered clouds,2022-07-17 17:56:09
85,Opuwo,NA,-18.0607,13.84,64.8,31,1,8.52,clear sky,2022-07-17 17:56:09
86,Torbay,CA,47.6666,-52.7314,77.76,59,100,10.36,overcast clouds,2022-07-17 17:56:09
87,Ayr,GB,55.4627,-4.6339,73.38,46,0,12.66,clear sky,2022-07-17 17:56:10
88,East London,ZA,-33.0153,27.9116,67.14,52,0,5.75,clear sky,2022-07-17 17:54:53
89,Oum Hadjer,TD,13.2954,19.6966,81.5,63,85,15.32,overcast clouds,2022-07-17 17:56:10
90,Kaitangata,NZ,-46.2817,169.8464,42.12,90,90,3.15,overcast clouds,2022-07-17 17:56:11
91,Bima,ID,-8.4667,118.7167,71.06,92,29,3.67,scattered clouds,2022-07-17 17:56:11
92,Qaanaaq,GL,77.484,-69.3632,46.33,58,67,0.72,broken clouds,2022-07-17 17:56:11
93,Ponta Do Sol,PT,32.6667,-17.1,77.13,73,35,9.13,scattered clouds,2022-07-17 17:56:12
94,Kota Belud,MY,6.351,116.4305,77.85,74,100,3.69,overcast clouds,2022-07-17 17:56:12
95,Izhma,RU,65.0083,53.9113,65.52,76,12,5.68,few clouds,2022-07-17 17:56:12
96,Poiana Stampei,RO,47.3167,25.1333,52.56,68,21,4.68,few clouds,2022-07-17 17:56:13
97,Marrakesh,MA,31.6315,-8.0083,102.27,29,40,9.22,scattered clouds,2022-07-17 17:54:48
98,South Sioux City,US,42.4739,-96.4136,84.99,54,0,3.0,clear sky,2022-07-17 17:53:17
99,Vila Velha,BR,-20.3297,-40.2925,85.95,72,20,11.5,few clouds,2022-07-17 17:56:04
100,Mataram,ID,-8.5833,116.1167,76.01,88,57,4.21,broken clouds,2022-07-17 17:56:13
101,Bilma,NE,18.6853,12.9164,94.12,28,73,9.4,broken clouds,2022-07-17 17:56:14
102,Chuy,UY,-33.6971,-53.4616,52.18,62,0,12.55,clear sky,2022-07-17 17:56:14
103,Zaozerne,UA,45.1582,33.2787,76.59,55,0,19.44,clear sky,2022-07-17 17:56:15
104,Jijiga,ET,9.35,42.8,66.38,65,64,13.94,broken clouds,2022-07-17 17:56:15
105,Bom Jesus Da Lapa,BR,-13.255,-43.4181,90.88,15,0,6.78,clear sky,2022-07-17 17:56:15
106,Dandong,CN,40.1292,124.3947,66.81,96,28,2.15,scattered clouds,2022-07-17 17:56:16
107,Touros,BR,-5.1989,-35.4608,80.44,75,67,17.25,broken clouds,2022-07-17 17:56:16
108,Bekhtery,UA,46.251,32.2927,74.01,41,13,15.84,few clouds,2022-07-17 17:56:16
109,Laguna,US,38.421,-121.4238,98.94,43,0,4.0,clear sky,2022-07-17 17:56:17
110,San Patricio,US,28.017,-97.5169,96.08,36,82,12.01,broken clouds,2022-07-17 17:56:14
111,New Norfolk,AU,-42.7826,147.0587,38.7,75,92,3.0,overcast clouds,2022-07-17 17:56:17
112,Panaba,MX,21.2833,-88.2667,96.44,36,14,3.22,few clouds,2022-07-17 17:56:18
113,Yar-Sale,RU,66.8333,70.8333,58.46,68,78,3.0,broken clouds,2022-07-17 17:56:18
114,Bengkulu,ID,-3.8004,102.2655,76.44,90,73,3.38,broken clouds,2022-07-17 17:56:18
115,Chicama,PE,-7.8447,-79.1469,61.34,57,22,10.42,few clouds,2022-07-17 17:56:19
116,Keita,NE,14.7551,5.7749,87.76,48,69,15.41,light rain,2022-07-17 17:56:19
117,Bereznik,RU,62.8551,42.7072,56.86,90,90,5.01,light rain,2022-07-17 17:56:20
118,Peniche,PT,39.3558,-9.3811,75.29,80,2,8.52,clear sky,2022-07-17 17:56:20
119,Hithadhoo,MV,-0.6,73.0833,76.91,90,100,28.27,overcast clouds,2022-07-17 17:56:20
120,Banjar,ID,-8.19,114.9675,75.34,91,34,2.26,scattered clouds,2022-07-17 17:56:21
121,Cape Town,ZA,-33.9258,18.4232,60.28,87,75,14.97,broken clouds,2022-07-17 17:55:37
