City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,74.35,overcast clouds,-23.1203,-134.9692,Rikitea
3,Sembe,CG,72.21,light rain,1.6481,14.5806,Sembe
5,Praia Da Vitoria,PT,79.05,broken clouds,38.7333,-27.0667,Praia da Vitória
6,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Mahebourg
7,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Souillac
9,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Vieux Grand Port
11,Portland,US,72.5,few clouds,45.5234,-122.6762,Portland
14,Kendari,ID,74.14,light rain,-3.945,122.4989,Kendari
19,Kavieng,PG,81.86,light rain,-2.5744,150.7967,Kavieng
21,Kapaa,US,77.47,overcast clouds,22.0752,-159.319,Kapaʻa
24,Los Llanos De Aridane,ES,72.12,clear sky,28.6585,-17.9182,Los Llanos
25,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo
26,Garden City,US,81.48,overcast clouds,42.3256,-83.331,Westland
27,Cabo San Lucas,MX,92.61,few clouds,22.8909,-109.9124,Cabo San Lucas
30,Port Alfred,ZA,73.58,clear sky,-33.5906,26.891,Port Alfred
31,Kahului,US,80.83,broken clouds,20.8947,-156.47,Kahului
33,Vaini,TO,73.56,few clouds,-21.2,-175.2,Nukuhetulu
34,Farmington,US,94.77,clear sky,36.7281,-108.2187,Farmington
35,Albany,US,90.63,scattered clouds,42.6001,-73.9662,Voorheesville
36,Surt,LY,80.26,clear sky,31.2089,16.5887,Sirte
37,Muros,ES,85.15,broken clouds,42.7762,-9.0603,Muros
38,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Cabo Frio
39,Sao Jose Da Coroa Grande,BR,77.38,scattered clouds,-8.8978,-35.1478,São José da Coroa Grande
40,Jamestown,US,78.06,overcast clouds,42.097,-79.2353,Jamestown
41,Cedar City,US,86.4,scattered clouds,37.6775,-113.0619,Cedar City
45,Sola,VU,80.96,overcast clouds,-13.8833,167.55,Sola
46,Sao Joao Da Barra,BR,87.89,overcast clouds,-21.6403,-41.0511,Grussaí
49,San Policarpo,PH,80.44,overcast clouds,12.1791,125.5072,Oras
51,Atuona,PF,77.95,few clouds,-9.8,-139.0333,Atuona
52,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Hong Kong
53,Dalbandin,PK,90.48,scattered clouds,28.8947,64.4101,Dalbandin
55,Nouadhibou,MR,75.18,sand,20.931,-17.0347,Nouadhibou
56,Guerrero Negro,MX,77.9,clear sky,27.9769,-114.0611,Guerrero Negro
60,Grand Gaube,MU,70.2,scattered clouds,-20.0064,57.6608,Goodlands
63,Katsuura,JP,76.6,scattered clouds,35.1333,140.3,Katsuura
65,Butaritari,KI,81.77,overcast clouds,3.0707,172.7902,Ukiangang
73,Kitsuki,JP,75.18,overcast clouds,33.4167,131.6167,Kitsuki
78,Waddan,LY,88.7,clear sky,29.1614,16.139,Waddan
80,Kangaba,ML,88.29,broken clouds,11.9333,-8.4167,Kangaba
83,Pierre,US,90.86,clear sky,44.3683,-100.351,Pierre
84,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Port-Gentil
86,Torbay,CA,77.76,overcast clouds,47.6666,-52.7314,St. John's
87,Ayr,GB,73.38,clear sky,55.4627,-4.6339,Ayr
89,Oum Hadjer,TD,81.5,overcast clouds,13.2954,19.6966,Oum Hadjer
91,Bima,ID,71.06,scattered clouds,-8.4667,118.7167,Bima
93,Ponta Do Sol,PT,77.13,scattered clouds,32.6667,-17.1,Ribeira Brava
94,Kota Belud,MY,77.85,overcast clouds,6.351,116.4305,Kota Belud
