City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Norman Wells,CA,65.282,-126.8329,57.24,94,75,2.3,broken clouds,2022-07-21 14:22:47
1,Jamestown,US,42.097,-79.2353,78.03,82,100,18.41,overcast clouds,2022-07-21 14:22:48
2,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,20,5.75,few clouds,2022-07-21 14:22:48
3,Carnarvon,AU,-24.8667,113.6333,67.21,66,95,15.77,overcast clouds,2022-07-21 14:22:48
4,Bani,DO,18.2833,-70.3333,85.86,60,4,13.8,clear sky,2022-07-21 14:22:49
5,Cabo San Lucas,MX,22.8909,-109.9124,87.1,66,7,14.36,clear sky,2022-07-21 14:18:46
6,Rikitea,PF,-23.1203,-134.9692,74.05,73,1,7.74,clear sky,2022-07-21 14:22:49
7,Lorengau,PG,-2.0226,147.2712,80.28,78,100,2.86,overcast clouds,2022-07-21 14:22:50
8,Busselton,AU,-33.65,115.3333,58.37,73,100,13.2,overcast clouds,2022-07-21 14:22:50
9,Shar,KZ,49.5886,81.0453,68.65,89,100,8.81,overcast clouds,2022-07-21 14:22:50
10,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,2.3,overcast clouds,2022-07-21 14:22:51
11,Gewane,ET,10.1664,40.6453,94.3,28,49,13.38,scattered clouds,2022-07-21 14:22:51
12,Gedo,ET,9.0167,37.45,54.99,91,99,2.13,overcast clouds,2022-07-21 14:22:51
13,Ouallam,NE,14.3188,2.0866,90.84,42,97,3.83,overcast clouds,2022-07-21 14:22:52
14,Puerto Ayora,EC,-0.7393,-90.3518,71.56,93,86,7.0,overcast clouds,2022-07-21 14:20:54
15,East London,ZA,-33.0153,27.9116,61.74,72,0,12.66,clear sky,2022-07-21 14:20:16
16,Atuona,PF,-9.8,-139.0333,77.0,76,12,14.58,few clouds,2022-07-21 14:22:52
17,Marathon,US,44.9,-89.7668,76.24,70,0,11.5,clear sky,2022-07-21 14:22:53
18,Sitka,US,57.0531,-135.33,55.29,88,100,3.44,light rain,2022-07-21 14:22:53
19,Kutum,SD,14.2,24.6667,81.41,45,100,23.17,overcast clouds,2022-07-21 14:22:53
20,Nome,US,64.5011,-165.4064,46.47,87,100,0.0,overcast clouds,2022-07-21 14:22:54
21,Ajdabiya,LY,30.7554,20.2263,84.22,46,0,19.8,clear sky,2022-07-21 14:22:54
22,Albany,US,42.6001,-73.9662,86.43,67,3,7.18,clear sky,2022-07-21 14:22:54
23,Clyde River,CA,70.4692,-68.5914,39.43,93,100,18.41,light rain,2022-07-21 14:22:55
24,Mataura,NZ,-46.1927,168.8643,41.49,94,100,2.33,overcast clouds,2022-07-21 14:22:55
25,Galle,LK,6.0367,80.217,79.11,86,100,17.96,overcast clouds,2022-07-21 14:22:55
26,Mahebourg,MU,-20.4081,57.7,70.09,73,75,19.57,broken clouds,2022-07-21 14:22:56
27,Khatanga,RU,71.9667,102.5,54.97,61,100,9.17,overcast clouds,2022-07-21 14:22:56
28,Talnakh,RU,69.4865,88.3972,61.21,67,20,11.23,light rain,2022-07-21 14:22:56
29,Vila Franca Do Campo,PT,37.7167,-25.4333,78.19,70,71,4.43,broken clouds,2022-07-21 14:22:57
30,Cape Town,ZA,-33.9258,18.4232,62.28,66,0,10.36,clear sky,2022-07-21 14:22:38
31,Bengkulu,ID,-3.8004,102.2655,77.22,89,80,4.5,broken clouds,2022-07-21 14:22:57
32,Upernavik,GL,72.7868,-56.1549,45.27,89,100,9.71,light rain,2022-07-21 14:22:58
33,Bluff,NZ,-46.6,168.3333,41.81,76,100,5.97,overcast clouds,2022-07-21 14:22:58
34,Zhanaozen,KZ,43.3,52.8,103.39,13,11,9.55,few clouds,2022-07-21 14:22:58
35,Ushuaia,AR,-54.8,-68.3,29.82,93,100,10.36,heavy snow,2022-07-21 14:22:59
36,Hobart,AU,-42.8794,147.3294,41.27,91,0,6.91,clear sky,2022-07-21 14:20:17
37,Port Alfred,ZA,-33.5906,26.891,62.19,73,0,4.0,clear sky,2022-07-21 14:22:59
38,La Ronge,CA,55.1001,-105.2842,61.05,63,75,18.41,broken clouds,2022-07-21 14:22:59
39,Punta Arenas,CL,-53.15,-70.9167,33.82,93,40,25.32,scattered clouds,2022-07-21 14:22:58
40,Grand-Santi,GF,4.25,-54.3833,85.06,65,60,3.47,broken clouds,2022-07-21 14:23:00
41,Rio Gallegos,AR,-51.6226,-69.2181,30.25,64,75,25.32,broken clouds,2022-07-21 14:22:28
42,Kati,ML,12.7441,-8.0726,80.01,66,89,8.01,overcast clouds,2022-07-21 14:23:01
43,Yellowknife,CA,62.456,-114.3525,61.32,63,20,6.91,few clouds,2022-07-21 14:20:47
44,Butaritari,KI,3.0707,172.7902,79.52,78,98,4.99,light rain,2022-07-21 14:23:01
45,Jerome,US,42.7241,-114.5186,73.44,26,0,9.22,clear sky,2022-07-21 14:23:01
46,Vaini,TO,-21.2,-175.2,68.16,100,20,3.44,few clouds,2022-07-21 14:23:02
47,Wladyslawowo,PL,54.7909,18.4009,95.94,48,10,12.21,clear sky,2022-07-21 14:23:02
48,Georgetown,MY,5.4112,100.3354,84.88,77,20,3.44,few clouds,2022-07-21 14:20:59
49,Katsuura,JP,35.1333,140.3,77.45,93,100,11.41,overcast clouds,2022-07-21 14:22:15
50,Kahului,US,20.8947,-156.47,73.42,78,100,12.66,overcast clouds,2022-07-21 14:23:03
